# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
5.621579359000000026e-02,5.800000000000000711e-01,1.503313987733013555e+07,4.040762193304978311e+06,-1.000210822959268953e+01
5.621579359000000026e-02,5.600000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000391507904001998e+01
6.745895230799998921e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.207948289797124986e+00
6.745895230799998921e-02,9.799999999999999822e-01,-7.856033524977764893e+10,-1.529784205583235979e+09,-8.062303301685194157e+00
6.745895230799998921e-02,9.599999999999999645e-01,-1.421097083176809387e+11,-5.454183454719560623e+09,-7.963674078026194536e+00
6.745895230799998921e-02,9.399999999999999467e-01,-1.908481019578597412e+11,-1.087067111952526283e+10,-7.909083002077104574e+00
6.745895230799998921e-02,9.200000000000000400e-01,-2.247431296425582886e+11,-1.713856713226999855e+10,-7.893688086872772125e+00
6.745895230799998921e-02,9.000000000000000222e-01,-2.437772478227685852e+11,-2.385623285684592819e+10,-7.916310099604202399e+00
6.745895230799998921e-02,8.800000000000000044e-01,-2.480529244927143555e+11,-3.077076861480772018e+10,-7.983381911169675327e+00
6.745895230799998921e-02,8.599999999999999867e-01,-2.377903377538735046e+11,-3.769289878612602234e+10,-8.113605054094962910e+00
6.745895230799998921e-02,8.399999999999999689e-01,-2.132416109838608398e+11,-4.436433633272789764e+10,-8.350775321522316830e+00
6.745895230799998921e-02,8.200000000000000622e-01,-1.745198689615605164e+11,-5.001719081856795502e+10,-8.793798914196196748e+00
6.745895230799998921e-02,8.000000000000000444e-01,-1.222356545908765106e+11,-5.168418084896023560e+10,-9.584547695640319276e+00
6.745895230799998921e-02,7.800000000000000266e-01,-6.519674646744557190e+10,-4.208906714483115387e+10,-1.061760887696733846e+01
6.745895230799998921e-02,7.600000000000000089e-01,-2.484785244245357895e+10,-2.316199336297022247e+10,-1.122296798442206800e+01
6.745895230799998921e-02,7.399999999999999911e-01,-6.578468440545129776e+09,-8.319778242259419441e+09,-1.133988740384435978e+01
6.745895230799998921e-02,7.199999999999999734e-01,-1.160373923767939806e+09,-1.281866257449755907e+09,-1.089353666485870065e+01
6.745895230799998921e-02,6.999999999999999556e-01,-3.711931892896674275e+08,6.773170915040029287e+08,-1.050056189840245935e+01
6.745895230799998921e-02,6.799999999999999378e-01,-9.699806044693489373e+07,9.075366236009203196e+08,-1.025616603708323993e+01
6.745895230799998921e-02,6.599999999999999201e-01,3.244321629866776466e+08,6.666379480896716118e+08,-1.016528048485569968e+01
6.745895230799998921e-02,6.400000000000000133e-01,3.688035282071620226e+08,4.362594739849243760e+08,-1.010217212210828208e+01
6.745895230799998921e-02,6.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.001707815436396842e+01
6.745895230799998921e-02,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.994869288848432731e+00
6.745895230799998921e-02,5.800000000000000711e-01,8.584854019383460283e+06,2.876881963113750098e+05,-1.000286408126658522e+01
6.745895230799998921e-02,5.600000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.000201615789021936e+01
7.870211102599999897e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.761723959924943017e+00
7.870211102599999897e-02,9.799999999999999822e-01,-8.013776146876588440e+10,-1.432572984485427141e+09,-7.625261011028153568e+00
7.870211102599999897e-02,9.599999999999999645e-01,-1.447486225374457092e+11,-5.152681780650801659e+09,-7.530940054891993363e+00
7.870211102599999897e-02,9.399999999999999467e-01,-1.941239034592939758e+11,-1.035373578853817749e+10,-7.477322541663222744e+00
7.870211102599999897e-02,9.200000000000000400e-01,-2.283646487610254822e+11,-1.640681687020928574e+10,-7.461950483387554733e+00
7.870211102599999897e-02,9.000000000000000222e-01,-2.475547027140806274e+11,-2.286961623692023468e+10,-7.484950238815093471e+00
7.870211102599999897e-02,8.800000000000000044e-01,-2.518564607205511169e+11,-2.943267908485174179e+10,-7.552372737888589427e+00
7.870211102599999897e-02,8.599999999999999867e-01,-2.415124633731192017e+11,-3.586278243801947021e+10,-7.682298868285458049e+00
7.870211102599999897e-02,8.399999999999999689e-01,-2.167083825423756104e+11,-4.195316850911869049e+10,-7.912126128107216161e+00
7.870211102599999897e-02,8.200000000000000622e-01,-1.772148473383574219e+11,-4.734807756503327179e+10,-8.364388744354151584e+00
7.870211102599999897e-02,8.000000000000000444e-01,-1.213419432914308777e+11,-5.008863551424660492e+10,-9.401630520502665789e+00
7.870211102599999897e-02,7.800000000000000266e-01,-5.407522835382984924e+10,-3.932338130298287201e+10,-1.103222695123575647e+01
