# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
1.686473807699999938e-01,2.500000000000000000e-01,8.575042698185596931e-07,-1.487028132255596475e-07,2.611036571349129254e+00
1.686473807699999938e-01,2.000000000000000111e-01,6.578915365941296451e-07,-5.172553907468355476e-08,2.163599230756526826e+00
1.686473807699999938e-01,1.499999999999999944e-01,5.530807988087594025e-07,-4.998988500945542154e-09,2.067969462390992774e+00
1.686473807699999938e-01,9.999999999999997780e-02,5.001544305937434852e-07,9.070118103095272544e-09,2.101280616254389777e+00
1.686473807699999938e-01,5.000000000000003747e-02,4.745721490483542065e-07,7.670426313316852244e-09,2.153660062705876399e+00
1.686473807699999938e-01,0.000000000000000000e+00,4.669142913661020308e-07,0.000000000000000000e+00,2.175884443820942593e+00
1.967552775649999974e-01,1.000000000000000000e+00,9.356556843838653492e+01,0.000000000000000000e+00,2.377629225536100233e+00
1.967552775649999974e-01,9.499999999999999556e-01,8.839065737109201848e+01,8.374628210457022437e-01,2.420195946781444452e+00
1.967552775649999974e-01,9.000000000000000222e-01,7.251788276639645403e+01,1.633871310675047539e+00,2.553248794084476803e+00
1.967552775649999974e-01,8.499999999999999778e-01,4.489117378886286502e+01,2.251018499237201542e+00,2.809897866155706136e+00
1.967552775649999974e-01,8.000000000000000444e-01,2.348085543715328430e-04,5.250623341392441414e-05,5.882277876880188217e+00
1.967552775649999974e-01,7.500000000000000000e-01,8.765493863613065136e-06,2.325561632955201772e-07,2.316998817532038046e+01
1.967552775649999974e-01,6.999999999999999556e-01,1.065576179475909802e-06,-1.033227769375912112e-06,2.776770689913113710e+00
1.967552775649999974e-01,6.500000000000000222e-01,9.420823661947187222e-07,-3.085414579780910993e-07,1.663988088284694022e+00
1.967552775649999974e-01,5.999999999999999778e-01,1.109439567070729982e-06,-2.244033658008974730e-07,3.520984351486911579e-01
1.967552775649999974e-01,5.500000000000000444e-01,1.222081782123298246e-06,-4.705258637453008824e-08,-5.709957983603569653e-01
1.967552775649999974e-01,5.000000000000000000e-01,1.279810424234405277e-06,1.800023084962572064e-07,-6.172092811158687992e-02
1.967552775649999974e-01,4.500000000000000111e-01,1.393475695586591818e-06,1.605333021195104023e-07,1.097794280701227532e+00
1.967552775649999974e-01,4.000000000000000222e-01,1.553191853170999857e-06,-2.831280568032349685e-08,1.490948512289566708e+00
1.967552775649999974e-01,3.499999999999999778e-01,1.540602307073200503e-06,-1.222036384749223579e-07,8.984479952276291925e-01
1.967552775649999974e-01,2.999999999999999889e-01,1.255009940228629340e-06,-6.318456312284490643e-08,3.234443406358279427e-01
1.967552775649999974e-01,2.500000000000000000e-01,9.075565098081105102e-07,5.223212265340393360e-09,2.321099554306924051e-01
1.967552775649999974e-01,2.000000000000000111e-01,6.826832094880487538e-07,3.102122282822932034e-08,3.499199507647599017e-01
1.967552775649999974e-01,1.499999999999999944e-01,5.612965563244982468e-07,3.716642800040002540e-08,5.369216730834440732e-01
1.967552775649999974e-01,9.999999999999997780e-02,4.988242953610256967e-07,3.063214058527909785e-08,7.167283310707588395e-01
1.967552775649999974e-01,5.000000000000003747e-02,4.688352330739098456e-07,1.687933611825523231e-08,8.406863459945590478e-01
1.967552775649999974e-01,0.000000000000000000e+00,4.598819756215128373e-07,0.000000000000000000e+00,8.844415358577092379e-01
2.248631743600000010e-01,1.000000000000000000e+00,9.384719853280488167e+01,0.000000000000000000e+00,1.083853263146399293e+00
2.248631743600000010e-01,9.499999999999999556e-01,8.871390710246656397e+01,1.915821814900569575e-01,1.110393705830980959e+00
2.248631743600000010e-01,9.000000000000000222e-01,7.286746508385739673e+01,6.283307047775980037e-01,1.210452474137483803e+00
2.248631743600000010e-01,8.499999999999999778e-01,4.504731393091366698e+01,1.044838602824952778e+00,1.670205316649508775e+00
2.248631743600000010e-01,8.000000000000000444e-01,1.016107861071817073e-04,5.838633309050161196e-06,1.355363620861967267e+00
2.248631743600000010e-01,7.500000000000000000e-01,1.189649630259503204e-05,2.071920319580596966e-07,5.775582594218056087e+00
2.248631743600000010e-01,6.999999999999999556e-01,2.363904937619706616e-06,-9.259988072364076570e-07,2.070855709403943479e+00
2.248631743600000010e-01,6.500000000000000222e-01,1.088317407367615010e-06,-4.023554539467829692e-07,-1.246225479749342613e+00
2.248631743600000010e-01,5.999999999999999778e-01,1.186650472249753084e-06,-3.467379779808010096e-07,-2.689141139325738727e+00
2.248631743600000010e-01,5.500000000000000444e-01,1.364359487896974765e-06,-9.725649668822044383e-08,-4.537481261494553664e+00
2.248631743600000010e-01,5.000000000000000000e-01,1.331406098309302090e-06,2.208138709485060776e-07,-3.612853323297951835e+00
2.248631743600000010e-01,4.500000000000000111e-01,1.294952329419351894e-06,8.088521890889443288e-08,-2.572020003321411341e+00
2.248631743600000010e-01,4.000000000000000222e-01,1.499536428725456832e-06,-1.622918874771700770e-07,-2.860749002109730377e+00
2.248631743600000010e-01,3.499999999999999778e-01,1.604398709419791986e-06,-4.141720821179806029e-08,-4.031731358947938659e+00
2.248631743600000010e-01,2.999999999999999889e-01,1.304400647904749638e-06,1.974303201205116236e-07,-3.225558494310366342e+00
2.248631743600000010e-01,2.500000000000000000e-01,9.045584589544763895e-07,1.697609386630179187e-07,-2.195618395382499255e+00
2.248631743600000010e-01,2.000000000000000111e-01,6.746097743494053833e-07,1.196651827422438328e-07,-1.485197116143763374e+00
2.248631743600000010e-01,1.499999999999999944e-01,5.520323882317290841e-07,8.333568052399691156e-08,-9.900135376300464030e-01
2.248631743600000010e-01,9.999999999999997780e-02,4.880408890225714330e-07,5.437874471170914831e-08,-6.488805982537905193e-01
2.248631743600000010e-01,5.000000000000003747e-02,4.568443684266810112e-07,2.702229049698944671e-08,-4.460681952221766666e-01
2.248631743600000010e-01,0.000000000000000000e+00,4.475024421958914249e-07,0.000000000000000000e+00,-3.785951697330752208e-01
2.529710711550000046e-01,1.000000000000000000e+00,9.369041998165820928e+01,0.000000000000000000e+00,-2.224221271056638916e-01
2.529710711550000046e-01,9.499999999999999556e-01,8.868017338083214440e+01,-6.273339784519545992e-01,-2.249071322257493177e-01
2.529710711550000046e-01,9.000000000000000222e-01,7.312427986434683191e+01,-7.055326478405395951e-01,-1.653205912867538041e-01
2.529710711550000046e-01,8.499999999999999778e-01,4.528504836832338043e+01,-1.274656015127355324e-01,2.992164773720106322e-02
2.529710711550000046e-01,8.000000000000000444e-01,9.395864073962037532e-05,7.782692981094198631e-07,9.299599273411458811e-02
2.529710711550000046e-01,7.500000000000000000e-01,9.009075683451706418e-06,-2.045941381164907305e-07,7.993506498650219116e-01
2.529710711550000046e-01,6.999999999999999556e-01,2.020854573980870782e-06,-5.557474544020496007e-07,-1.671123586475169454e+00
2.529710711550000046e-01,6.500000000000000222e-01,1.129709448315648871e-06,-3.483502525866128067e-07,-4.500567720927439730e+00
2.529710711550000046e-01,5.999999999999999778e-01,1.012219128316368031e-06,-4.598013407969950234e-07,-5.117202006004585080e+00
2.529710711550000046e-01,5.500000000000000444e-01,1.127738848575405696e-06,-1.936475879511118811e-07,-1.018751428869563469e+01
2.529710711550000046e-01,5.000000000000000000e-01,1.205235095545368151e-06,3.383996546550890626e-07,-6.942537106349776721e+00
2.529710711550000046e-01,4.500000000000000111e-01,1.122873354458368901e-06,3.808596411229250395e-08,-5.813713747032489998e+00
2.529710711550000046e-01,4.000000000000000222e-01,1.234716781487293823e-06,-2.913268639917818829e-07,-6.623312609686710317e+00
2.529710711550000046e-01,3.499999999999999778e-01,1.520559229828311310e-06,-7.210094152559794723e-09,-1.020638745574387229e+01
2.529710711550000046e-01,2.999999999999999889e-01,1.214648475863885900e-06,4.620767889913613935e-07,-6.624126013492507958e+00
